Executing: /usr/bin/kmutil showloaded
No variant specified, falling back to release
Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  136 0                  0          0          com.apple.kpi.bsd (23.6.0) 3E1326CF-F9E2-3214-82A3-081100FBD733 <>
    2   27 0                  0          0          com.apple.kpi.dsep (23.6.0) 3E1326CF-F9E2-3214-82A3-081100FBD733 <>
    3  168 0                  0          0          com.apple.kpi.iokit (23.6.0) 3E1326CF-F9E2-3214-82A3-081100FBD733 <>
    4    0 0                  0          0          com.apple.kpi.kasan (23.6.0) 3E1326CF-F9E2-3214-82A3-081100FBD733 <>
    5    0 0                  0          0          com.apple.kpi.kcov (23.6.0) 3E1326CF-F9E2-3214-82A3-081100FBD733 <>
    6  172 0                  0          0          com.apple.kpi.libkern (23.6.0) 3E1326CF-F9E2-3214-82A3-081100FBD733 <>
    7  149 0                  0          0          com.apple.kpi.mach (23.6.0) 3E1326CF-F9E2-3214-82A3-081100FBD733 <>
    8  103 0                  0          0          com.apple.kpi.private (23.6.0) 3E1326CF-F9E2-3214-82A3-081100FBD733 <>
    9  105 0                  0          0          com.apple.kpi.unsupported (23.6.0) 3E1326CF-F9E2-3214-82A3-081100FBD733 <>
   10   13 0xffffff8002fed000 0x7dff0    0x7dff0    com.apple.kec.corecrypto (14.0) 32E201B4-B19A-33DD-908F-850ED2F58E46 <9 8 7 6 3 1>
   11    0 0xffffff80018d7000 0x3000     0x3000     com.apple.kec.AppleEncryptedArchive (1) E0135E40-69B7-3246-96E7-E2CD764747DA <10 8 7 6>
   12    0 0xffffff8001e80000 0x4000     0x4000     com.apple.kec.Compression (1.0) 02125950-E87A-33AF-BAFC-BCFFC7E4BBC6 <10 8 7 6>
   13    7 0xffffff8002d3e000 0xdfe0     0xdfe0     com.apple.kec.Libm (1) 80081411-91D3-37FF-8783-E2EFC08C17C7 <6>
   14    0 0xffffff8002def000 0x3000     0x3000     com.apple.kec.XrtHostedXnu (1) C056185E-A409-338A-A4F5-FA605FD6966D <8 6>
   15    0 0xffffff800309a000 0x7000     0x7000     com.apple.kec.pthread (1) 53F9CA15-DA8B-3385-B9B6-7E3A6843AA07 <9 8 7 6 3 1>
   16    1 0xffffff80030b0000 0x2fff     0x2fff     com.apple.driver.watchdog (1) 2D007C64-EF78-3276-A014-C76E314452E2 <9 8 7 6 3 1>
   17   27 0xffffff80022f9000 0x2000     0x2000     com.apple.iokit.IOACPIFamily (1.4) 04DDFFBA-0499-3590-B6C5-C40851E28B4F <9 8 6 3>
   18   44 0xffffff8002769000 0x32000    0x32000    com.apple.iokit.IOPCIFamily (2.9) 50496BBE-7950-3208-A0BE-66244891FB11 <9 8 7 6 3>
   19    9 0xffffff8001b89000 0x1bffe    0x1bffe    com.apple.driver.AppleSMC (3.1.9) B6D333BE-CC32-33DE-99BD-5824A3392BE0 <18 17 16 9 8 7 6 3 1>
   20    1 0xffffff80013ad000 0x77ff1    0x77ff1    com.apple.driver.AppleACPIPlatform (6.1) 698283D9-EA1D-3980-8E59-4047C5F9B619 <19 18 17 9 8 7 6 3 1>
   21    5 0xffffff8002894000 0x1fff     0x1fff     com.apple.driver.IOSlaveProcessor (1) E9F63212-88CA-377C-86C3-C9D5588C039D <8 7 6 3>
   22    4 0xffffff8001b6d000 0xeffc     0xeffc     com.apple.driver.AppleSEPManager (1.0.1) 8E131A13-F87A-36D1-B54D-1A5CE48BCA76 <21 18 10 9 8 7 6 3 1>
   23    5 0xffffff8001e85000 0x9ff7     0x9ff7     com.apple.iokit.CoreAnalyticsFamily (1) A8CE3071-7707-3B73-B8CD-CBB273F99233 <9 8 7 6 3 1>
   24    2 0xffffff8001812000 0x79ffc    0x79ffc    com.apple.driver.AppleCredentialManager (1.0) CAF4C0CE-A7B0-36F6-902C-DD9EAB274224 <23 22 21 10 9 8 7 6 3 1>
   25    4 0xffffff8001f60000 0x9ffa     0x9ffa     com.apple.kext.CoreTrust (1) 3FF8FD12-DA8F-32D4-80B9-C1C5CE6B1022 <10 8 6>
   26    2 0xffffff800193a000 0x21ff6    0x21ff6    com.apple.security.AppleImage4 (6.3.0) 38CC2358-2549-30EB-A2DB-1C37C73B1498 <25 10 9 8 7 6 3 2 1>
   27   10 0xffffff8001a9c000 0x38ff1    0x38ff1    com.apple.driver.AppleMobileFileIntegrity (1.0.5) 68CA5E31-AD0B-3A54-AD94-A2657C4603C4 <26 25 23 10 9 8 7 6 3 2 1>
   28    0 0xffffff8001896000 0x2ff8     0x2ff8     com.apple.driver.AppleCyrus (1) 1929DCA7-8B6F-3D3E-99B6-570BF9BC2A66 <27 25 22 21 9 8 7 6 3 1>
   29   12 0xffffff800289f000 0x17000    0x17000    com.apple.iokit.IOStorageFamily (2.1) 1EEEAAAA-95C2-3606-8488-591BE79DB5B4 <9 8 7 6 3 1>
   30    0 0xffffff800189c000 0xeff5     0xeff5     com.apple.driver.AppleDiskImages2 (276.120.7) A27AD2FC-6C06-33F4-8306-145900E669C7 <29 8 7 6 3 1>
   31    2 0xffffff80018cb000 0x6000     0x6000     com.apple.driver.AppleEffaceableStorage (1.0) D5CCC882-9FDA-32BA-99C3-D500724CE7CD <9 7 6 3 1>
   32    0 0xffffff80018db000 0x6000     0x6000     com.apple.driver.AppleFDEKeyStore (28.30) A7037BB4-4B2A-33F2-88A3-B64994D79A74 <31 10 9 8 7 6 3 1>
   33    5 0xffffff80027b1000 0x14fff    0x14fff    com.apple.iokit.IOSCSIArchitectureModelFamily (495) 763392EF-4CBB-3EE6-88E4-B948D44564BE <8 7 6 3 1>
   34    2 0xffffff80027d9000 0x10ffd    0x10ffd    com.apple.iokit.IOSCSIBlockCommandsDevice (495) B0E2C177-CD2E-3B83-814A-D2C6FE27A789 <33 29 8 7 6 3 1>
   35    1 0xffffff800179d000 0x4000     0x4000     com.apple.driver.AppleBusPowerController (1.0) 034AD86E-12D2-3B53-BC8F-5496A2F1A604 <19 17 8 7 6 3>
   36    9 0xffffff8001d7c000 0x3ffc     0x3ffc     com.apple.driver.usb.AppleUSBCommon (1.0) 813D44D3-A1A5-31B7-9F30-BEFC209EF1EC <7 6 3 1>
   37    3 0xffffff8002bfd000 0xfff      0xfff      com.apple.driver.AppleUSBHostMergeProperties (1.2) E03D2C6E-6F90-3336-B729-503734655EFF <6 3 1>
   38   18 0xffffff8002b22000 0x79ff4    0x79ff4    com.apple.iokit.IOUSBHostFamily (1.2) 04BC4DE6-B34C-355D-BCDD-7DFF96A1AEAF <37 36 35 27 19 17 9 8 7 6 3 1>
   39    2 0xffffff8002cfd000 0x1e000    0x1e000    com.apple.iokit.IOUSBMassStorageDriver (245) 10E3EA2C-AA0C-35C5-B352-5CDD0486386C <38 33 29 18 8 7 6 3 1>
   40    1 0xffffff8001c00000 0x7ffd     0x7ffd     com.apple.driver.AppleUSBTDM (556) A37C500C-89A6-3C05-B651-D025EE1A2B8A <39 38 34 33 29 27 9 8 7 6 3 1>
   41    0 0xffffff80019bc000 0x94ffe    0x94ffe    com.apple.driver.AppleKeyStore (2) DD1C8E37-BF50-300C-9D05-E0BCA4DCC276 <40 27 25 24 22 21 10 9 8 7 6 3 1>
   42    0 0xffffff8001a76000 0x17ffc    0x17ffc    com.apple.driver.AppleLockdownMode (1) BE305CB4-38EA-3B54-93FB-9C4ED32CD200 <24 9 8 7 6 3 1>
   43    0 0xffffff8001bb0000 0x8000     0x8000     com.apple.driver.AppleSSE (1.0) 46D8FA6F-EB8F-3379-AA53-C85D43144D9C <22 21 9 8 7 6 3 1>
   44    0 0xffffff8001f6c000 0x2ff8     0x2ff8     com.apple.Dont_Steal_Mac_OS_X (7.0.0) A2654F22-16B4-34DF-9263-F25E16FCA067 <19 10 9 8 6 3 1>
   45    2 0xffffff8001a97000 0x2ffe     0x2ffe     com.apple.kext.AppleMatch (1.0.0d1) BE634771-EC12-380F-B071-EF82AD9299A5 <8 6 3 1>
   46    3 0xffffff8002d74000 0x5eff4    0x5eff4    com.apple.security.sandbox (300.0) D9E558DD-6144-3898-968F-072A470637FE <45 29 27 9 8 7 6 3 2 1>
