2025-06-13 12:54:16 +0100 Sleep               	Entering Sleep state due to 'Idle Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 6955 secs 
2025-06-13 14:50:11 +0100 Wake                	Wake from Normal Sleep [CDNVA] : due to XHC2/HID Activity Using AC (Charge:0%) 8972 secs 
2025-06-13 17:19:43 +0100 Sleep               	Entering Sleep state due to 'Idle Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 1420 secs 
2025-06-13 17:43:23 +0100 DarkWake            	DarkWake from Normal Sleep [CDN] : due to RTC0/Maintenance Using AC (Charge:0%) 45 secs   
2025-06-13 17:44:08 +0100 Sleep               	Entering Sleep state due to 'Maintenance Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 6775 secs 
2025-06-13 19:37:03 +0100 Wake                	Wake from Normal Sleep [CDNVA] : due to XHC2/HID Activity Using AC (Charge:0%)           
2025-06-15 09:21:00 +0100 Sleep               	Entering Sleep state due to 'Idle Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 2641 secs 
2025-06-15 10:05:01 +0100 DarkWake            	DarkWake from Normal Sleep [CDN] : due to XHC2/ Using AC (Charge:0%) 3 secs    
2025-06-15 10:05:04 +0100 Wake                	DarkWake to FullWake from Normal Sleep [CDNVA] : due to HID Activity Using AC (Charge:0%) 5739 secs 
2025-06-15 11:40:43 +0100 Sleep               	Entering Sleep state due to 'Idle Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 15274 secs
2025-06-15 15:55:17 +0100 DarkWake            	DarkWake from Normal Sleep [CDN] : due to RTC0/Maintenance Using AC (Charge:0%) 45 secs   
2025-06-15 15:56:02 +0100 Sleep               	Entering Sleep state due to 'Maintenance Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 29538 secs
2025-06-16 00:08:20 +0100 DarkWake            	DarkWake from Normal Sleep [CDN] : due to RTC0/Maintenance Using AC (Charge:0%) 45 secs   
2025-06-16 00:09:05 +0100 Sleep               	Entering Sleep state due to 'Maintenance Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 26558 secs
2025-06-16 07:31:43 +0100 DarkWake            	DarkWake from Normal Sleep [CDN] : due to RTC0/Maintenance Using AC (Charge:0%) 45 secs   
2025-06-16 07:32:28 +0100 Sleep               	Entering Sleep state due to 'Maintenance Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 2935 secs 
